schema_version,run_id,epoch,train_loss,train_accuracy_pct,test_loss,test_accuracy_pct,epoch_train_time_s,spike_rate_pct
1,20260801_215947_norse_seed0,1,0.225104,92.8317,0.105958,96.07,130.746,2.63312
1,20260801_215947_norse_seed0,2,0.0758276,97.6467,0.0638804,97.93,127.792,2.22564
1,20260801_215947_norse_seed0,3,0.061561,98.065,0.052728,98.09,122.057,2.20744
1,20260801_215947_norse_seed0,4,0.0510156,98.4217,0.0399173,98.6,120.351,2.02572
1,20260801_215947_norse_seed0,5,0.0456022,98.5317,0.0426819,98.53,116.917,2.05683
1,20260801_221447_spikingjelly_seed0,1,0.223139,92.8517,0.0912293,96.86,109.363,2.8288
1,20260801_221447_spikingjelly_seed0,2,0.0767827,97.6333,0.069755,97.82,109.022,2.70182
1,20260801_221447_spikingjelly_seed0,3,0.0609156,98.11,0.0505561,98.27,105.061,2.45517
1,20260801_221447_spikingjelly_seed0,4,0.0520262,98.3283,0.045503,98.44,102.887,2.52851
1,20260801_221447_spikingjelly_seed0,5,0.0453662,98.5717,0.0403061,98.57,100.831,2.45112
1,20260801_224044_snntorch_seed0,1,0.223666,92.9067,0.0879294,96.95,115.101,2.84311
1,20260801_224044_snntorch_seed0,2,0.0764905,97.6217,0.0635049,97.94,113.053,2.63521
1,20260801_224044_snntorch_seed0,3,0.0610044,98.1217,0.0525695,98.13,112.572,2.59422
1,20260801_224044_snntorch_seed0,4,0.0536995,98.2733,0.0456591,98.38,109.404,2.53416
1,20260801_224044_snntorch_seed0,5,0.0460614,98.5433,0.0435627,98.49,108.848,2.46718
1,20260801_235851_snntorch_seed1,1,0.256846,91.8333,0.0983649,96.65,953.02,3.29274
1,20260801_235851_snntorch_seed1,2,0.0854576,97.3617,0.0659863,97.89,135.077,2.97144
1,20260801_235851_snntorch_seed1,3,0.0660275,97.905,0.0561841,98.17,128.947,2.95177
1,20260801_235851_snntorch_seed1,4,0.0550107,98.2667,0.0633916,98.14,126.394,2.8603
1,20260801_235851_snntorch_seed1,5,0.0508379,98.4083,0.0526205,98.36,124.206,2.7386
1,20260802_003427_norse_seed1,1,0.24702,92.0883,0.0849534,97.08,129.822,2.73707
1,20260802_003427_norse_seed1,2,0.0829552,97.4083,0.0669886,97.77,134.65,2.58969
1,20260802_003427_norse_seed1,3,0.0639177,98.005,0.0623752,97.97,130.917,2.56587
1,20260802_003427_norse_seed1,4,0.0562858,98.195,0.0534879,98.2,130.831,2.2799
1,20260802_003427_norse_seed1,5,0.0499871,98.3983,0.0582578,98.15,130.31,2.40272
1,20260802_004834_spikingjelly_seed1,1,0.258512,91.875,0.102519,96.72,115.977,3.65545
1,20260802_004834_spikingjelly_seed1,2,0.0892392,97.1967,0.0636014,98.05,116.452,3.25163
1,20260802_004834_spikingjelly_seed1,3,0.0685501,97.855,0.0526632,98.21,113.799,3.19347
1,20260802_004834_spikingjelly_seed1,4,0.0563825,98.235,0.0564039,98.29,108.178,2.92966
1,20260802_004834_spikingjelly_seed1,5,0.0522605,98.3817,0.0514602,98.25,111.832,2.85878
