schema_version,run_id,layer_index,layer_type,neurons,total_spikes,opportunities,spike_rate_pct
1,20260806_220526_snntorch_seed1,0,SnnTorchLIF,10800,3.04351e+07,552960000,5.50404
1,20260806_220526_snntorch_seed1,1,SnnTorchLIF,3872,6.70807e+06,198246400,3.3837
1,20260806_220526_snntorch_seed1,2,SnnTorchLIF,10,68407,512000,13.3607
1,20260806_221841_norse_seed1,0,NorseLIF,10800,2.24462e+07,552960000,4.05928
1,20260806_221841_norse_seed1,1,NorseLIF,3872,5.69842e+06,198246400,2.87441
1,20260806_221841_norse_seed1,2,NorseLIF,10,26011,512000,5.08027
1,20260806_223205_spikingjelly_seed1,0,SpikingJellyLIF,10800,3.57546e+07,552960000,6.46604
1,20260806_223205_spikingjelly_seed1,1,SpikingJellyLIF,3872,8.47617e+06,198246400,4.27557
1,20260806_223205_spikingjelly_seed1,2,SpikingJellyLIF,10,55238,512000,10.7887
1,20260806_224430_snntorch_seed0,0,SnnTorchLIF,10800,2.3071e+07,552960000,4.17227
1,20260806_224430_snntorch_seed0,1,SnnTorchLIF,3872,7.42323e+06,198246400,3.74444
1,20260806_224430_snntorch_seed0,2,SnnTorchLIF,10,74089,512000,14.4705
1,20260806_230655_norse_seed0,0,NorseLIF,10800,1.95164e+07,552960000,3.52943
1,20260806_230655_norse_seed0,1,NorseLIF,3872,4.88318e+06,198246400,2.46318
1,20260806_230655_norse_seed0,2,NorseLIF,10,27574,512000,5.38555
1,20260806_231948_spikingjelly_seed0,0,SpikingJellyLIF,10800,3.02824e+07,552960000,5.47642
1,20260806_231948_spikingjelly_seed0,1,SpikingJellyLIF,3872,8.55803e+06,198246400,4.31686
1,20260806_231948_spikingjelly_seed0,2,SpikingJellyLIF,10,53234,512000,10.3973
1,20260806_233140_snntorch_seed2,0,SnnTorchLIF,10800,2.38635e+07,552960000,4.3156
1,20260806_233140_snntorch_seed2,1,SnnTorchLIF,3872,6.11854e+06,198246400,3.08633
1,20260806_233140_snntorch_seed2,2,SnnTorchLIF,10,87640,512000,17.1172
1,20260806_234357_norse_seed2,0,NorseLIF,10800,1.96029e+07,552960000,3.54509
1,20260806_234357_norse_seed2,1,NorseLIF,3872,6.47991e+06,198246400,3.26861
1,20260806_234357_norse_seed2,2,NorseLIF,10,27283,512000,5.32871
1,20260806_235621_spikingjelly_seed2,0,SpikingJellyLIF,10800,3.39782e+07,552960000,6.14479
1,20260806_235621_spikingjelly_seed2,1,SpikingJellyLIF,3872,8.67704e+06,198246400,4.3769
1,20260806_235621_spikingjelly_seed2,2,SpikingJellyLIF,10,54589,512000,10.6619
1,20260813_152445_sinabs_seed0,0,SinabsLIF,10800,1.25668e+07,552960000,2.27265
1,20260813_152445_sinabs_seed0,1,SinabsLIF,3872,3.78378e+06,198246400,1.90863
1,20260813_152445_sinabs_seed0,2,SinabsLIF,10,93261,512000,18.215
1,20260813_153839_sinabs_seed1,0,SinabsLIF,10800,1.73217e+07,552960000,3.13253
1,20260813_153839_sinabs_seed1,1,SinabsLIF,3872,3.50913e+06,198246400,1.77009
1,20260813_153839_sinabs_seed1,2,SinabsLIF,10,87291,512000,17.049
1,20260813_155141_sinabs_seed2,0,SinabsLIF,10800,1.14419e+07,552960000,2.06922
1,20260813_155141_sinabs_seed2,1,SinabsLIF,3872,3.05062e+06,198246400,1.5388
1,20260813_155141_sinabs_seed2,2,SinabsLIF,10,73695,512000,14.3936
