schema_version,run_id,timestamp,framework,seed,config_path,config_hash,dataset,time_steps,batch_size,num_workers,binarize,denoise_us,epochs,optimizer,lr,surrogate,trainable_params,weight_fingerprint,test_accuracy_pct,train_loss_final,test_loss_final,train_time_s,train_time_per_epoch_s,inference_throughput_samples_per_s,inference_latency_bs1_ms,inference_latency_bs1_mean_ms,inference_latency_bs1_p90_ms,spike_rate_pct,peak_memory_train_mb,peak_memory_infer_mb,peak_reserved_train_mb,peak_reserved_infer_mb,nvml_update_interval_ms,idle_power_cold_w,idle_power_after_train_w,train_energy_duration_s,train_energy_j,train_energy_dynamic_j,energy_warnings,gpu_name,driver,cuda,torch_version,framework_version,python_version,platform,notes
1,20260806_220526_snntorch_seed1,2026-08-06T22:05:26,snntorch,1,config/config_ex2.yaml,20af039c9d78,nmnist,20,128,2,false,10000,5,nadam,0.002,atan(2.0),18254,b80dbce09b1ebb09,98.42,0.0454527,0.0471003,625.567,125.113,667.023,39.3179,40.9307,49.0719,4.9502,469.806,81.9463,538,538,100.501,31.5169,33.5165,709.734,31570.4,7782.57,,Tesla T4,580.82.07,12.8,2.11.0+cu128,1.0.0,3.12.13,Linux 6.6.122+,
1,20260806_221841_norse_seed1,2026-08-06T22:18:41,norse,1,config/config_ex2.yaml,20af039c9d78,nmnist,20,128,2,false,10000,5,nadam,0.002,super(100.0),18254,b80dbce09b1ebb09,95.35,0.175911,0.158976,603.765,120.753,670.06,25.0498,26.8164,30.0199,3.74749,763.128,91.3887,838,838,100.504,35.5862,33.4067,709.408,32972.3,9273.33,,Tesla T4,580.82.07,12.8,2.11.0+cu128,1.1.0,3.12.13,Linux 6.6.122+,
1,20260806_223205_spikingjelly_seed1,2026-08-06T22:32:05,spikingjelly,1,config/config_ex2.yaml,20af039c9d78,nmnist,20,128,2,false,10000,5,nadam,0.002,atan(2.0),18254,b80dbce09b1ebb09,97.84,0.0598134,0.063086,564.476,112.895,719.766,13.9386,15.9601,25.5409,5.8913,615.987,68.7871,678,678,100.337,35.9517,33.4409,644.949,29127.5,7559.84,,Tesla T4,580.82.07,12.8,2.11.0+cu128,0.0.0.0.14,3.12.13,Linux 6.6.122+,
1,20260806_224430_snntorch_seed0,2026-08-06T22:44:30,snntorch,0,config/config_ex2.yaml,20af039c9d78,nmnist,20,128,2,false,10000,5,nadam,0.002,atan(2.0),18254,30b4902cd20a39fe,98.5,0.0413175,0.0441609,590.755,118.151,661.184,30.5031,32.0007,35.0313,4.06646,469.806,81.9463,538,538,101.935,34.9887,34.1125,685.08,30599.8,7229.98,,Tesla T4,580.82.07,12.8,2.11.0+cu128,1.0.0,3.12.13,Linux 6.6.122+,
1,20260806_230655_norse_seed0,2026-08-06T23:06:55,norse,0,config/config_ex2.yaml,20af039c9d78,nmnist,20,128,2,false,10000,5,nadam,0.002,super(100.0),18254,30b4902cd20a39fe,95.61,0.170817,0.149755,589.451,117.89,694.065,32.9406,36.6539,44.1019,3.2495,763.128,91.3887,838,838,100.898,28.873,32.9241,678.548,32354.3,10013.7,,Tesla T4,580.82.07,12.8,2.11.0+cu128,1.1.0,3.12.13,Linux 6.6.122+,
1,20260806_231948_spikingjelly_seed0,2026-08-06T23:19:48,spikingjelly,0,config/config_ex2.yaml,20af039c9d78,nmnist,20,128,2,false,10000,5,nadam,0.002,atan(2.0),18254,30b4902cd20a39fe,97.62,0.0584718,0.0622203,555.714,111.143,716.13,18.9546,21.7329,29.7659,5.17397,615.987,68.7871,678,678,100.821,34.827,33.5036,633.324,29407.2,8188.61,,Tesla T4,580.82.07,12.8,2.11.0+cu128,0.0.0.0.14,3.12.13,Linux 6.6.122+,
1,20260806_233140_snntorch_seed2,2026-08-06T23:31:40,snntorch,2,config/config_ex2.yaml,20af039c9d78,nmnist,20,128,2,false,10000,5,nadam,0.002,atan(2.0),18254,5f2de8c28fc112b2,98.46,0.0437486,0.0423899,555.445,111.089,650.477,29.32,32.7811,36.7883,4.00013,469.806,81.9463,538,538,100.881,35.7214,32.5163,637.493,28136.1,7407.24,,Tesla T4,580.82.07,12.8,2.11.0+cu128,1.0.0,3.12.13,Linux 6.6.122+,
1,20260806_234357_norse_seed2,2026-08-06T23:43:57,norse,2,config/config_ex2.yaml,20af039c9d78,nmnist,20,128,2,false,10000,5,nadam,0.002,super(100.0),18254,5f2de8c28fc112b2,95.12,0.178314,0.161985,565.179,113.036,595.894,25.7682,27.4677,31.2213,3.47339,763.128,91.3887,838,838,101.113,30.7279,30.0663,652.941,29896.5,10264.9,,Tesla T4,580.82.07,12.8,2.11.0+cu128,1.1.0,3.12.13,Linux 6.6.122+,
1,20260806_235621_spikingjelly_seed2,2026-08-06T23:56:21,spikingjelly,2,config/config_ex2.yaml,20af039c9d78,nmnist,20,128,2,false,10000,5,nadam,0.002,atan(2.0),18254,5f2de8c28fc112b2,98.08,0.0595309,0.0533275,565.794,113.159,718.711,14.3545,15.8119,20.9702,5.68163,615.987,68.7871,678,678,101.035,30.1398,29.5094,640.67,26653.7,7747.86,,Tesla T4,580.82.07,12.8,2.11.0+cu128,0.0.0.0.14,3.12.13,Linux 6.6.122+,
1,20260813_152445_sinabs_seed0,2026-08-13T15:24:45,sinabs,0,config/config_ex2.yaml,65e90cdbe423,nmnist,20,128,2,false,10000,5,nadam,0.002,periodic_exponential(None),18254,30b4902cd20a39fe,98.23,0.0360293,0.0492345,664.586,132.917,681.554,31.0872,33.1381,40.7412,2.18751,628.169,79.1216,682,682,100.624,30.5686,32.0885,744.513,35592.8,11702.6,,Tesla T4,580.82.07,12.8,2.11.0+cu128,3.1.3,3.12.13,Linux 6.6.122+,
1,20260813_153839_sinabs_seed1,2026-08-13T15:38:39,sinabs,1,config/config_ex2.yaml,65e90cdbe423,nmnist,20,128,2,false,10000,5,nadam,0.002,periodic_exponential(None),18254,b80dbce09b1ebb09,98.5,0.0408025,0.0512455,618.571,123.714,675.913,31.9997,35.2176,43.8369,2.7827,628.169,79.1216,682,682,101.183,33.4168,32.3969,701.541,35174.4,12446.7,,Tesla T4,580.82.07,12.8,2.11.0+cu128,3.1.3,3.12.13,Linux 6.6.122+,
1,20260813_155141_sinabs_seed2,2026-08-13T15:51:41,sinabs,2,config/config_ex2.yaml,65e90cdbe423,nmnist,20,128,2,false,10000,5,nadam,0.002,periodic_exponential(None),18254,5f2de8c28fc112b2,98.68,0.035031,0.0405482,589.776,117.955,684.463,39.85,41.3425,50.8946,1.93773,628.169,79.1216,682,682,101.294,33.8392,32.56,668.177,33597.7,11841.8,,Tesla T4,580.82.07,12.8,2.11.0+cu128,3.1.3,3.12.13,Linux 6.6.122+,
